all_cc_inx,VAdjMat,MDEC.12,nAtomLAC,nAtomLC,khs.ssCH2,Kier1,Kier2,FMF,VP.1,C2SP3,nAtom,nAcid,mz,CCS,pred_CCS,delta_CCS_N_N_pred,relative_error,compound_class,pubchem_cid,adducts,cluster_inx
all-cc-1544,1.4270392951033068,2.605095101260448,2.2383971541106464,2.0697050420949834,2.2203009710521657,1.9463459665127647,1.915919319707557,-1.3700239983779217,2.111621159172284,2.148606173684444,2.1202806514406283,0.5023287400738573,1.758586649703646,304.2,301.5956043023824,2.6043956976176332,0.008561458572050077,Lipids and lipid-like molecules,SM(42:2),[M+H]+,61
all-cc-3185,-0.7013330414431199,-0.9284064440864525,-0.2185390936791156,-0.8055944970263498,-0.4061424816035834,-0.90900392958053,-0.7436365942537803,1.5253469748319617,-0.7156762830209064,-0.4104250045315115,-0.7483369274078276,-0.6711111967386733,-0.9188673574331572,141.429737532647,141.32130881418271,0.10842871846429604,0.0007666613850518308,Metabolites,1935,[M+H]+,15
all-cc-202,-0.2339562674578923,0.7431193071745779,-0.8737220930897188,-0.4673239630120752,-0.4061424816035834,-0.2938799021379838,-0.3607763793884293,-0.5239740386737339,-0.3969697581122963,-0.7516291616269721,-0.34194943707096315,-0.6711111967386733,-0.35236685065222595,181.638598180476,176.07615874502773,5.562439435448283,0.030623664194553226,Metabolites,5467,[M+H]+,15
all-cc-471,-0.9282210997156708,-0.9284064440864525,-0.8737220930897188,-0.8901621305299183,-0.4061424816035834,-1.0244597568499236,-0.8033564539269263,1.7321591872040971,-0.8160094341019103,-0.5810270830792418,-0.8439575133694428,-0.6711111967386733,-1.0322097186902568,134.073227645185,134.01941315453115,0.053814490653849134,0.00040138133167245927,Drug and Drug-Like Compounds,442894,[M+H]+,15
all-cc-135,0.2668188867536852,0.8360082704049038,-0.8737220930897188,0.040081838009336464,-0.4908664639473173,-0.030591542021390836,-0.1185217466765066,0.29185985104101797,-0.21482475874654525,-0.7516291616269721,-0.10289797216692516,-0.6711111967386733,-0.09072970472995633,193.340289721016,195.4909291683569,-2.150639447340893,0.011123596899767756,Metabolites,5577,[M+H]+,56
all-cc-1285,1.3937771026910082,0.4911397140325783,1.7619004271176664,2.2388403091021205,1.6272330946460292,1.8840387994959304,2.147967430302045,-1.3700239983779217,1.6750282781995622,1.3808968202196563,1.737798307594167,0.5023287400738573,1.6665237759892142,283.7,285.0915878205176,-1.3915878205176568,0.004905138598934286,Lipids and lipid-like molecules,PE(40:6),[M+H]+,1
all-cc-1416,0.894527181549138,0.4519021811501039,1.9108056544053449,1.7314345080807088,1.8814050416772303,1.0740456282770765,1.554757857112471,-1.3700239983779217,1.2511375563555391,1.9780040951367128,1.3553159637477064,-0.6711111967386733,0.8040252358997684,267.3,266.02553141099344,1.274468589006574,0.00476793336702796,Lipids and lipid-like molecules,Cer(38:1),[M+H]+,21
all-cc-1350,0.8945271810692461,0.235195753533402,0.6004396555841385,-0.298188696004938,-0.7450384109785188,0.38536795833490506,-0.18686753261944186,0.26270399403366645,0.263457788020318,-0.7516291616269721,0.1839637857179204,-0.6711111967386733,0.3971488064423553,228.073759525784,218.8732692465699,9.20049027921408,0.04033997728780348,Lipids and lipid-like molecules,3503,[M+H-H2O]+,56
all-cc-70,-1.3327220244993079,-0.7038928498237949,-0.8737220930897188,-0.8901621305299183,-0.7450384109785188,-0.9145914523435734,-0.7297722210244372,0.18106759441308776,-1.0491244087347686,-0.7516291616269721,-0.9634832458214618,0.5023287400738573,-1.049887863013605,136.22364240000002,134.03670734267402,2.1869350573259965,0.01605400515502584,Metabolites,8468,[M+H]+,2
all-cc-3233,-0.8112296324267241,-0.7038928498237949,-0.7099263432370679,-0.7210268635227811,-0.6603144286347851,-0.6666608502557491,-0.6374011740143147,-0.20670530378466465,-0.8569801305301403,-0.7516291616269721,-0.8200523668790392,1.675768676886388,-0.6100179850028997,165.0491,156.11609897024462,8.93300102975536,0.05412329440000194,Metabolites,1051,[M+Na]+,26
