all_cc_inx,VAdjMat,MDEC.12,nAtomLAC,nAtomLC,khs.ssCH2,Kier1,Kier2,FMF,VP.1,C2SP3,nAtom,nAcid,mz,CCS,pred_CCS,delta_CCS_N_N_pred,relative_error,compound_class,pubchem_cid,adducts,cluster_inx
all-cc-8,1.811656232917478,3.4237540053992634,0.92803115528944,-0.044485795494232164,0.18692539480255352,1.2714774213416633,0.17933239058545788,0.5946920191573558,1.5977662712067553,0.016080191837814273,1.3314108172573027,-0.6711111967386733,1.8096579577920784,281.046148258105,279.9636419301404,1.0825063279646656,0.003851703126600126,Metabolites,5978,[M+H]+,16
all-cc-19,-2.9197179820036965,-0.9284064440864525,-1.2013135927950205,-1.2284326645441928,-0.7450384109785188,-1.3434724519761183,-0.939081010118732,1.7321591872040971,-1.315841044374029,-0.7516291616269721,-1.2264398572159037,-0.6711111967386733,-1.489971579399164,125.47,115.2966849472694,10.173315052730588,0.08108165340504174,Metabolites,1048,[M+H]+,10
all-cc-113,1.359893152206082,1.3714853185026956,0.7642354054367893,-0.2136210625013694,-0.4061424816035834,1.2852556120201508,0.2634865681353116,0.3331353976278917,1.1912603953078662,0.3572843489332749,1.3792211102381102,-0.6711111967386733,1.4134674657068134,258.141301215216,258.0452023171964,0.09609889801964756,0.0003722724630551411,Metabolites,12560,[M+H]+,16
all-cc-153,-1.0532871397405434,-0.9284064440864525,-1.0375178429423697,-0.8901621305299183,-0.7450384109785188,-0.7907188702981954,-0.7335803160492362,-0.040516918842772524,-0.5286299468669207,-0.7516291616269721,-0.9634832458214618,-0.6711111967386733,-0.6364431326213709,145.516962085294,145.34457413739509,0.17238794789889764,0.0011846587877353662,Metabolites,5104,[M+H]+,10
all-cc-189,0.6587748577886792,-0.2290884017792555,-0.2185390936791156,-0.12905342899780078,-0.06724655222864802,-0.06440631227744399,-0.2586955797528325,1.2474430644569068,0.16753554626576228,-0.15452188670991598,-0.007277386205309979,1.675768676886388,0.08368039169247672,201.235239043119,198.7775788930492,2.4576601500697848,0.012212871670767254,Metabolites,3749,[M+H]+,30
all-cc-215,-0.4067287076430858,-0.9284064440864525,-0.8737220930897188,-0.7210268635227811,-0.7450384109785188,-0.4182110217761197,-0.5082935888373405,-0.4393690427033161,-0.2940045667675717,-0.7516291616269721,-0.7483369274078276,0.5023287400738573,0.8920081712561448,176.281471482776,195.62326274850312,-19.341791265727124,0.1097210676938158,Metabolites,2140,[M+H]+,15
all-cc-291,0.7567845958048931,3.4351398257212926,0.2728481558788369,-0.298188696004938,0.017477430115085815,0.054779770055692484,-0.4930634809749464,0.6372710040575031,0.4904857943696229,0.10138123111167943,0.470825543602766,0.5023287400738573,0.2671280075432451,213.88149932748695,213.98149073680253,-0.0999914093155212,0.00046750845505537744,Drug and Drug-Like Compounds,10114,[M+H]+,8
all-cc-300,1.1421029227264972,-0.4677765368393925,0.10905240602618606,0.3783523720236109,-0.5755904462910512,0.5966300063092417,0.011060659361784192,0.8664336470416684,0.4579722436443191,0.10138123111167943,0.39911010413155457,-0.6711111967386733,0.9721806240927856,227.002633458513,237.26403055345585,-10.261397094942822,0.04520386807238602,Drug and Drug-Like Compounds,10621,[M+Na]+,29
all-cc-309,0.7567845958048931,-0.9281969956923264,1.0918269051420908,0.040081838009336464,1.4577851299585611,1.0823302377419208,1.5341603630077294,-1.3700239983779217,0.8819833139253885,1.636799938041252,1.0923593523532646,-0.6711111967386733,0.7992030076105932,241.725069072383,249.7802454398696,-8.055176367486581,0.03332371110037624,Drug and Drug-Like Compounds,6710748,[M+Na]+,11
all-cc-334,1.063275782572331,3.780689128858081,0.2728481558788369,0.12464947151290508,0.18692539480255352,0.4755891352018002,-0.2728652106620569,0.2945621012026753,0.7874800766877506,0.2719833096594097,0.7337821549972077,1.675768676886388,0.7028672318472647,241.017256959441,240.9246920437725,0.092564915668504,0.0003840592861949344,Drug and Drug-Like Compounds,2561,[M+H]+,32
all-cc-338,0.5551615957371789,-0.20109749676888647,-0.5461305933844172,-0.3827563295085066,-0.5755904462910512,0.6378954591592321,0.2950262818113594,-1.3700239983779217,-0.01851892830827493,-0.3251239652576463,0.112248346246709,-0.6711111967386733,0.5189706339482412,205.653023266267,211.6417453263573,-5.988722060090339,0.029120515541055318,Drug and Drug-Like Compounds,14048382,[M+Na]+,29
all-cc-350,-0.2339562674578923,-0.2517662780909918,0.92803115528944,0.29378473852004233,0.6105453065212227,-0.10979054504278694,0.2991159461093064,-1.3700239983779217,-0.10890271577453399,0.5278864274810051,0.016627760285093815,-0.6711111967386733,-0.2473129008973665,195.91739398516003,196.19615404105645,-0.27876005589644137,0.001422844854283619,Drug and Drug-Like Compounds,14900,[M+Na]+,21
all-cc-388,1.1421029227264972,-0.4677765368393925,0.10905240602618606,0.3783523720236109,-0.6603144286347851,0.5966300063092417,0.011060659361784192,0.8664336470416684,0.4205347371753076,-0.06922084743605088,0.3512998111507469,-0.6711111967386733,0.8676303077962301,242.48200502291095,236.14004837127945,6.341956651631591,0.026154339374719244,Drug and Drug-Like Compounds,5281613,[M+H]+,29
all-cc-389,1.7575406148301085,1.872734561931144,0.2728481558788369,-0.298188696004938,-0.5755904462910512,1.2960971573793152,0.036644873486105976,0.04961915434605376,1.4581068277181948,-0.15452188670991598,1.3553159637477064,-0.6711111967386733,1.7572135746193889,254.195692105786,257.7051652601511,-3.5094731543650823,0.013806186585194296,Drug and Drug-Like Compounds,6857763,[M+H-H2O]+,16
all-cc-408,0.9382097425474828,-0.6306429733423853,0.4366439057314877,-0.044485795494232164,-0.5755904462910512,0.4463115170394397,-0.11406764853245148,0.2208391737154219,0.10567220908664393,-0.6663281223531069,-0.055087679186117566,1.675768676886388,0.5579419118590492,218.516481154058,224.1211737500188,-5.604692595960728,0.025648832373468985,Drug and Drug-Like Compounds,5491415,[M+H]+,30
all-cc-415,1.18026724986129,1.2192308239114535,0.92803115528944,-0.12905342899780078,-0.4061424816035834,0.657258276687034,0.02742607103317989,0.32207592103045074,0.6368125231100893,-0.2398229259837812,0.5186358365835735,1.675768676886388,0.8245208521737022,248.44641384565202,244.11687904529282,4.32953480035917,0.017426433061935462,Drug and Drug-Like Compounds,11103,[M+H]+,5
all-cc-419,1.3253637542659351,2.919152201850964,-0.05474334382646475,-0.2136210625013694,-0.2366945169161157,0.6035619980441789,0.06048014054933785,1.0577715381645283,0.8112570600255188,-0.2398229259837812,0.6620667155259963,-0.6711111967386733,0.9291912203619188,245.292683444973,245.20545216222013,0.08723128275281056,0.000355621217590778,Drug and Drug-Like Compounds,73078,[M+H]+,33
