all_cc_inx,VAdjMat,MDEC.12,nAtomLAC,nAtomLC,khs.ssCH2,Kier1,Kier2,FMF,VP.1,C2SP3,nAtom,nAcid,mz
all-cc-148,-0.076227387,-0.015149,-0.873722093,-0.467323963,-0.321418499,-0.338682846,-0.42968937,0.518261419,-0.353947033,-0.495726044,-0.341949437,-0.671111197,-0.295750782
all-cc-150,-0.406728708,-0.928406444,-0.709926343,-0.63645923,-0.660314429,-0.583948086,-0.521778357,0.752522392,-0.595185783,-0.666328122,-0.724431781,0.50232874,-0.496699661
all-cc-151,0.203207497,-0.928406444,-0.218539094,-0.129053429,-0.067246552,-0.251412193,-0.230527589,0.896956022,-0.114670851,-0.666328122,-0.174613412,-0.671111197,-0.15182663
all-cc-153,-1.05328714,-0.928406444,-1.037517843,-0.890162131,-0.745038411,-0.79071887,-0.733580316,-0.040516919,-0.528629947,-0.751629162,-0.963483246,-0.671111197,-0.636443133
all-cc-154,-1.663223345,-0.928406444,-0.873722093,-0.974729764,-0.745038411,-1.038167334,-0.79487479,0.491285913,-1.116441267,-0.751629162,-1.035198685,-0.671111197,-1.184921752
all-cc-155,-0.701333041,0.744145136,-0.873722093,-0.63645923,-0.490866464,-0.604582754,-0.49963666,-0.275135815,-0.620982504,-0.751629162,-0.509285463,-0.671111197,-0.761775978
all-cc-156,-0.9282211,-0.481416236,-0.709926343,-0.63645923,-0.660314429,-0.728708404,-0.611220382,-0.129150724,-0.801374846,-0.581027083,-0.676621488,-0.671111197,-0.862208158
all-cc-157,-0.406728708,0.169168072,-0.218539094,-0.63645923,-0.575590446,-0.583948086,-0.434783742,0.752522392,-0.552023718,-0.666328122,-0.485380316,-0.671111197,-0.670332959
all-cc-158,-1.05328714,-0.71444386,-1.037517843,-0.721026864,-0.745038411,-0.79071887,-0.701702589,-0.040516919,-0.913296464,-0.751629162,-0.86786266,-0.671111197,-0.849484878
all-cc-159,-0.597719779,-0.928406444,-1.037517843,-0.551891597,-0.745038411,-0.705939365,-0.622576449,1.184715096,-0.777166673,-0.751629162,-0.79614722,-0.671111197,-0.692595214
all-cc-161,-0.406728708,-0.418656412,-0.873722093,-0.551891597,-0.745038411,-0.583948086,-0.591402694,0.915795191,-0.653479734,-0.751629162,-0.652716341,-0.671111197,-0.570471506
all-cc-162,-0.597719779,-0.771801868,-1.037517843,-0.551891597,-0.745038411,-0.705939365,-0.654414186,1.002233732,-0.668151527,-0.751629162,-0.79614722,-0.671111197,-0.605582949
all-cc-163,-0.597719779,-0.673531428,-1.037517843,-0.551891597,-0.745038411,-0.705939365,-0.654414186,1.002233732,-0.76873312,-0.751629162,-0.772242074,-0.671111197,-0.679526448
all-cc-164,-0.597719779,-0.928406444,-0.873722093,-0.551891597,-0.745038411,-0.705939365,-0.622576449,1.184715096,-0.756559109,-0.751629162,-0.772242074,-0.671111197,-0.696930992
all-cc-165,-0.153376842,-0.254998133,-0.218539094,-0.551891597,-0.406142482,-0.553478821,-0.456834863,1.584436178,-0.385558786,-0.410425005,-0.38975973,-0.671111197,-0.556990598
all-cc-166,-0.318284895,0.885124486,-0.054743344,-0.63645923,-0.575590446,-0.522769795,-0.469303194,0.646395072,-0.515150017,-0.751629162,-0.437570023,-0.671111197,-0.604935109
all-cc-167,-0.701333041,-0.928406444,-1.037517843,-0.63645923,-0.745038411,-0.766710745,-0.670626042,1.15049984,-0.70303674,-0.751629162,-0.843957513,-0.671111197,-0.670980799
all-cc-168,-0.9282211,-0.251803691,-0.546130593,-0.805594497,-0.745038411,-0.728708404,-0.611220382,-0.129150724,-0.828365389,-0.581027083,-0.676621488,-0.671111197,-0.940674619
all-cc-169,0.445265005,-0.928406444,-1.037517843,-0.298188696,-0.575590446,-0.159441569,-0.27212176,1.411243685,-0.039451533,-0.666328122,-0.270233998,-0.671111197,-0.021372494
all-cc-170,-0.499710041,-0.591841306,-1.037517843,-0.551891597,-0.745038411,-0.645010836,-0.637887327,0.870441636,-0.706610378,-0.751629162,-0.700526634,-0.671111197,-0.618464377
all-cc-171,0.137282466,0.110139961,-0.054743344,-0.38275633,-0.660314429,-0.312096532,-0.433029777,0.61537324,-0.260777507,-0.666328122,-0.437570023,0.50232874,-0.230630018
all-cc-172,-0.811229632,-0.279934365,-0.709926343,-0.721026864,-0.660314429,-0.66666085,-0.637401174,-0.206705304,-0.757185394,-0.666328122,-0.604906048,-0.671111197,-0.801146086
all-cc-173,-0.9282211,-0.251803691,-0.546130593,-0.805594497,-0.745038411,-0.728708404,-0.611220382,-0.129150724,-0.828365389,-0.581027083,-0.676621488,-0.671111197,-0.862208158
all-cc-174,0.137282466,-0.928406444,-0.709926343,-0.38275633,-0.575590446,-0.312096532,-0.365129106,1.235809878,-0.204066231,-0.666328122,-0.509285463,-0.671111197,0.021612796
all-cc-175,0.501045978,-0.928406444,-0.218539094,-0.044485795,-0.321418499,-0.099320195,-0.184173551,1.525346975,-0.001630804,-0.666328122,-0.102897972,-0.671111197,-0.020993898
all-cc-176,-0.499710041,-0.597560383,-0.873722093,-0.63645923,-0.745038411,-0.480354223,-0.55845467,-0.390387203,-0.741492088,-0.751629162,-0.724431781,-0.671111197,-0.57923499
all-cc-178,-0.597719779,-0.030836365,-0.873722093,-0.38275633,-0.490866464,-0.542479205,-0.49102517,-0.335962937,-0.616097044,-0.581027083,-0.581000902,-0.671111197,-0.605237463
all-cc-180,-0.233956267,0.410278152,-0.218539094,-0.129053429,-0.321418499,-0.293879902,-0.200377406,-0.523974039,-0.377897215,-0.410425005,-0.270233998,-0.671111197,-0.452338092
all-cc-181,-0.002227783,-0.251682195,-0.382334844,-0.213621063,-0.490866464,-0.277172519,-0.295651984,0.956613391,-0.343618576,-0.410425005,-0.294139144,-0.671111197,-0.35222308
all-cc-182,0.501045978,-0.546058975,-0.709926343,0.293784739,-0.151970535,0.053443934,-0.131755589,1.23180706,0.044846452,-0.154521887,-0.055087679,-0.671111197,0.157508439
all-cc-183,-0.9282211,-0.928406444,-0.709926343,-0.721026864,-0.660314429,-0.728708404,-0.611220382,-0.129150724,-0.81954114,-0.666328122,-0.86786266,-0.671111197,-0.714553371
all-cc-184,-0.597719779,-0.283289094,-0.709926343,-0.551891597,-0.575590446,-0.542479205,-0.441843325,-0.335962937,-0.720521684,-0.666328122,-0.581000902,-0.671111197,-0.75331121
all-cc-185,-0.406728708,0.292426454,-0.873722093,-0.467323963,-0.406142482,-0.418211022,-0.377394661,-0.439369043,-0.491830926,-0.751629162,-0.437570023,-0.671111197,-0.478735282
all-cc-188,-1.663223345,-0.619543201,-1.037517843,-0.890162131,-0.745038411,-1.038167334,-0.751522752,0.491285913,-1.069251852,-0.751629162,-0.987388392,-0.671111197,-1.19354495
all-cc-189,0.658774858,-0.229088402,-0.218539094,-0.129053429,-0.067246552,-0.064406312,-0.25869558,1.247443064,0.167535546,-0.154521887,-0.007277386,1.675768677,0.083680392
all-cc-190,-0.499710041,0.128664961,-0.709926343,-0.213621063,-0.406142482,-0.480354223,-0.324120824,-0.390387203,-0.536955213,-0.495726044,-0.38975973,-0.671111197,-0.617960743
all-cc-191,0.555161596,-0.928406444,-0.382334844,0.040081838,-0.067246552,0.114644614,-0.078565537,-0.012818855,0.006053185,-0.751629162,-0.007277386,-0.671111197,0.153249773
all-cc-192,0.137282466,-0.370256212,-0.382334844,0.040081838,-0.406142482,-0.312096532,-0.326857423,1.235809878,-0.176626769,-0.410425005,-0.365854584,-0.671111197,-0.230493653
all-cc-193,-1.854214417,-0.928406444,-0.873722093,-0.974729764,-0.745038411,-1.099782199,-0.807228329,0.698098125,-1.146623223,-0.751629162,-1.083008978,0.50232874,-1.250319602
all-cc-194,-0.233956267,-0.546845101,-0.873722093,-0.38275633,-0.745038411,-0.461491331,-0.456834863,0.550375117,-0.531197288,-0.751629162,-0.676621488,-0.671111197,-0.357329993
all-cc-195,-1.05328714,-0.928406444,-0.873722093,-0.63645923,-0.660314429,-0.79071887,-0.621273961,-0.040516919,-0.946638331,-0.751629162,-0.86786266,0.50232874,-0.936497142
all-cc-196,-0.002227783,-0.928406444,-0.709926343,-0.551891597,-0.575590446,-0.433089973,-0.42968937,1.327526598,-0.220747869,-0.666328122,-0.581000902,-0.671111197,-0.100394588
all-cc-197,-0.406728708,0.980826196,-0.218539094,-0.63645923,-0.406142482,-0.583948086,-0.591402694,0.262703994,-0.386788847,-0.325123965,-0.365854584,-0.671111197,-0.565715307
all-cc-198,-0.701333041,-0.928406444,-0.709926343,-0.721026864,-0.745038411,-0.766710745,-0.670626042,0.956613391,-0.784855467,-0.751629162,-0.891767806,-0.671111197,-0.671005632
all-cc-200,0.068869117,0.235637656,-0.054743344,-0.467323963,-0.406142482,-0.372660427,-0.44882989,0.568840493,-0.331723928,-0.581027083,-0.365854584,-0.671111197,-0.369714758
